Gender,Degree,Specialization,CollegeState,collegeGPA,CollegeCityTier,GraduationYear,10percentage,12graduation,12percentage,CollegeTier,Salary
m,B.Tech/B.E.,computer science and technology,Maharashtra,60.34,0,2012,80.13,2008,69.17,2,215000
m,B.Tech/B.E.,information technology,Tamil Nadu,75,1,2013,82.5,2009,85,2,315000
m,B.Tech/B.E.,computer science & engineering,Andhra Pradesh,60,0,2014,63.5,2010,65.72,2,220000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,75,0,2014,64,2010,62,2,180000
m,MCA,computer application,Orissa,85,0,2012,76,2005,61,2,240000
m,B.Tech/B.E.,information technology,West Bengal,74,1,2013,73,2008,76,2,60000
m,B.Tech/B.E.,computer engineering,Rajasthan,71,0,2012,91,2008,83,2,165000
m,MCA,computer application,Karnataka,63,0,2013,65,2007,47.6,2,180000
m,MCA,computer application,Punjab,69.7,0,2014,70.16,2007,66.8,2,150000
m,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,72.45,0,2010,74.6,2005,80.8,2,370000
m,B.Tech/B.E.,electrical engineering,Uttar Pradesh,66,0,2013,66.5,2008,66.4,2,145000
m,B.Tech/B.E.,automobile/automotive engineering,Orissa,76.5,0,2013,78.4,2009,58.4,2,100000
m,MCA,computer application,Uttar Pradesh,72.02,0,2010,62,2002,62,2,300000
m,B.Tech/B.E.,information technology,Maharashtra,73,0,2014,52.93,2008,64,2,240000
m,B.Tech/B.E.,electronics and electrical engineering,Uttar Pradesh,64,0,2012,82,2008,81,2,500000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,75,1,2012,78,2008,69,2,300000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,67.72,0,2014,65,2008,65.4,1,300000
m,B.Tech/B.E.,electronics and electrical engineering,Uttar Pradesh,60.4,0,2011,70.2,2007,68.4,1,510000
f,B.Tech/B.E.,information technology,Tamil Nadu,83,0,2014,93,2010,89,2,150000
m,B.Tech/B.E.,information technology,Uttar Pradesh,60.62,0,2014,53.4,2010,66,2,240000
m,B.Tech/B.E.,electronics and communication engineering,Haryana,64.45,0,2012,84.2,2008,78.6,2,145000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,68.74,0,2012,71.5,2007,60,2,240000
m,B.Tech/B.E.,computer science & engineering,West Bengal,82,1,2013,81.5,2009,80.2,2,310000
m,B.Tech/B.E.,computer engineering,Madhya Pradesh,65.55,0,2012,63,2008,66,2,450000
m,MCA,computer application,Andhra Pradesh,76,0,2010,74,2004,86.1,2,380000
f,B.Tech/B.E.,electronics and communication engineering,Karnataka,80.2,1,2014,91.6,2010,86.5,2,300000
m,B.Tech/B.E.,computer engineering,Andhra Pradesh,73.21,0,2013,87.5,2009,89.9,2,300000
m,B.Tech/B.E.,electronics and communication engineering,Telangana,77.72,0,2013,78.5,2009,83,2,200000
m,B.Tech/B.E.,electronics and communication engineering,Orissa,63.3,0,2014,79.5,2009,63.2,2,170000
f,B.Tech/B.E.,computer science & engineering,West Bengal,81.4,1,2013,71,2009,68,2,95000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,72.04,0,2012,66,2006,61,2,335000
m,B.Tech/B.E.,computer science & engineering,Haryana,72,0,2013,74,2009,63,2,110000
m,B.Tech/B.E.,electronics and communication engineering,Tamil Nadu,83.2,0,2011,91,2007,90.91,2,450000
f,B.Tech/B.E.,computer science & engineering,Karnataka,68.69,0,2013,89.44,2009,75.33,2,200000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,67,0,2014,76,2010,64,2,310000
m,B.Tech/B.E.,mechanical engineering,Telangana,65.42,1,2012,77,2008,75,2,200000
m,B.Tech/B.E.,information science engineering,Karnataka,57,1,2013,63,2009,74,2,240000
f,B.Tech/B.E.,computer engineering,Andhra Pradesh,69.55,0,2012,90.33,2008,88.6,2,300000
m,B.Tech/B.E.,mechanical engineering,Tamil Nadu,87.2,0,2013,76.5,2009,84,2,75000
m,B.Tech/B.E.,computer engineering,Madhya Pradesh,64.3,0,2011,70,2007,60,2,330000
m,B.Tech/B.E.,information technology,Telangana,65,1,2014,78,2010,87.1,2,140000
m,B.Tech/B.E.,computer science & engineering,West Bengal,70.06,1,2014,89.5,2010,73.4,2,320000
m,B.Tech/B.E.,mechanical engineering,Madhya Pradesh,64,0,2010,56.4,2006,72,2,1210000
m,B.Tech/B.E.,chemical engineering,Uttarakhand,79.65,0,2014,88.67,2009,87.69,1,700000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,71.97,0,2012,58.33,2007,73.33,2,120000
m,B.Tech/B.E.,information technology,Uttar Pradesh,69.2,0,2014,64,2009,66,2,200000
m,B.Tech/B.E.,computer engineering,Karnataka,71.07,1,2011,85.92,2007,79.87,2,315000
m,B.Tech/B.E.,electronics and electrical engineering,Karnataka,70,1,2013,88.8,2009,84.67,2,305000
m,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,68.56,0,2013,73.8,2008,75.4,2,335000
m,B.Tech/B.E.,electronics and communication engineering,Orissa,70.1,0,2011,71,2007,58,2,410000
f,B.Tech/B.E.,computer science & engineering,Delhi,76.24,1,2013,81.4,2008,74,1,200000
m,B.Tech/B.E.,electronics and communication engineering,Telangana,68.2,1,2013,88.1,2009,91.1,2,315000
m,B.Tech/B.E.,computer science & engineering,Tamil Nadu,63.2,0,2013,76,2009,72,2,120000
f,B.Tech/B.E.,electronics and communication engineering,Telangana,83,1,2012,82.3,2007,96.6,2,310000
m,B.Tech/B.E.,electronics and electrical engineering,Haryana,72.3,0,2013,78,2009,68,1,375000
m,B.Tech/B.E.,instrumentation engineering,Uttar Pradesh,66.93,0,2014,66.7,2009,54.2,2,240000
m,B.Tech/B.E.,computer science & engineering,Telangana,63,1,2013,72,2008,60,2,295000
m,B.Tech/B.E.,mechanical engineering,Orissa,61,0,2012,82,2008,62.3,2,360000
f,B.Tech/B.E.,electronics and communication engineering,Karnataka,61.8,0,2010,58.56,2006,73,2,260000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,70.68,0,2014,58,2009,62,2,180000
m,B.Tech/B.E.,computer science & engineering,West Bengal,75.03,0,2013,77,2007,78,2,100000
f,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,71.1,0,2014,75.6,2010,83.2,2,160000
m,MCA,computer application,West Bengal,79,0,2010,75,2002,61.7,2,310000
m,B.Tech/B.E.,electronics and communication engineering,Madhya Pradesh,68.9,0,2013,74,2009,66.8,2,80000
m,B.Tech/B.E.,computer science & engineering,West Bengal,81.5,1,2014,92.2,2009,75.6,2,325000
f,B.Tech/B.E.,information technology,Telangana,70.95,1,2012,84.5,2008,94.1,2,400000
m,B.Tech/B.E.,mechanical engineering,Karnataka,82.53,1,2013,89.4,2009,75.6,2,475000
m,B.Tech/B.E.,information technology,Tamil Nadu,69.8,0,2014,76.2,2010,88,2,180000
f,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,77.25,0,2012,85.33,2008,78.2,2,250000
m,MCA,computer application,Uttarakhand,72,0,2015,72,2010,64,2,150000
m,MCA,computer application,Orissa,85.2,0,2010,45.6,2007,73.6,2,100000
m,B.Tech/B.E.,information technology,Maharashtra,61.86,1,2014,86.5,2010,82.5,2,300000
m,B.Tech/B.E.,information technology,Maharashtra,55.6,1,2010,75.83,2006,68.83,2,465000
m,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,61,0,2013,69.4,2007,63,2,200000
m,B.Tech/B.E.,computer science and technology,Uttarakhand,63,0,2014,64,2010,61,2,360000
m,B.Tech/B.E.,electronics and communication engineering,Punjab,77,0,2011,85,2006,73.8,2,400000
m,B.Tech/B.E.,electronics and communication engineering,Telangana,68.4,1,2010,85.6,2006,90.6,2,720000
m,B.Tech/B.E.,information technology,Uttar Pradesh,73.06,0,2010,80.6,2005,91,2,505000
f,B.Tech/B.E.,computer engineering,Rajasthan,68,0,2011,78,2007,68,2,380000
f,B.Tech/B.E.,computer science & engineering,Delhi,69.78,1,2013,69,2009,72.2,2,375000
m,B.Tech/B.E.,electronics and communication engineering,Gujarat,67.45,1,2010,89.56,2006,85,2,290000
m,B.Tech/B.E.,computer science & engineering,Delhi,68,1,2013,83.2,2008,72.3,2,350000
m,MCA,computer application,Uttar Pradesh,59,0,2010,51,2004,48,2,100000
m,MCA,computer application,Uttar Pradesh,77.7,0,2014,60.7,2008,65.66,2,230000
m,B.Tech/B.E.,information technology,Uttar Pradesh,65.48,0,2011,76,2006,75,2,315000
m,B.Tech/B.E.,electronics and communication engineering,West Bengal,86,0,2014,91,2010,91.2,2,615000
m,B.Tech/B.E.,computer science & engineering,Telangana,65.7,1,2013,90.6,2009,79.3,2,200000
m,B.Tech/B.E.,information technology,Uttar Pradesh,62.44,0,2014,63,2010,62,2,180000
m,B.Tech/B.E.,mechanical engineering,Telangana,63,1,2014,63,2010,63,2,260000
m,B.Tech/B.E.,information technology,Uttar Pradesh,80,0,2010,75.4,2004,68.2,2,1110000
m,B.Tech/B.E.,electronics and electrical engineering,Uttar Pradesh,64.5,0,2011,81.8,2006,71.8,2,170000
m,B.Tech/B.E.,information technology,Gujarat,80,1,2013,75.85,2009,77.2,2,180000
m,B.Tech/B.E.,electronics and communication engineering,Delhi,72.7,1,2014,91.6,2010,85.6,1,340000
m,B.Tech/B.E.,computer engineering,Rajasthan,66,1,2010,66,2006,55,2,145000
m,B.Tech/B.E.,information technology,Uttar Pradesh,65.06,0,2014,50,2010,57,2,120000
f,B.Tech/B.E.,electronics and communication engineering,Tamil Nadu,76,0,2011,89.2,2007,86.25,2,180000
m,B.Tech/B.E.,electronics and communication engineering,Delhi,72.5,1,2014,93.8,2009,76,1,325000
m,B.Tech/B.E.,mechanical engineering,Maharashtra,72.02,0,2012,76.66,2004,64.33,2,95000
m,B.Tech/B.E.,mechanical engineering,Uttarakhand,83.5,0,2013,90.4,2009,84.6,2,205000
f,B.Tech/B.E.,computer science & engineering,Maharashtra,64.66,0,2013,90.8,2009,82.6,2,280000
m,B.Tech/B.E.,computer engineering,Rajasthan,61.36,1,2014,82.67,2008,74.92,2,215000
m,B.Tech/B.E.,electronics and communication engineering,Telangana,83.62,1,2013,94.16,2009,95.5,2,200000
m,B.Tech/B.E.,computer science & engineering,Madhya Pradesh,67.8,0,2011,74.6,2007,81.6,2,350000
m,B.Tech/B.E.,computer engineering,Maharashtra,63.33,0,2012,61.73,2008,60,2,190000
m,B.Tech/B.E.,information technology,Uttar Pradesh,68.1,0,2011,78,2007,63,2,520000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,53,1,2010,74,2005,64,2,335000
m,B.Tech/B.E.,computer engineering,Tamil Nadu,64,1,2012,72,2007,60,2,220000
m,B.Tech/B.E.,electronics & instrumentation eng,Uttar Pradesh,67.23,0,2011,85.6,2006,79.4,1,450000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,68.3,1,2011,89.4,2006,68,2,445000
m,B.Tech/B.E.,information technology,Telangana,69.96,1,2014,87.7,2010,95.2,2,200000
m,B.Tech/B.E.,electronics and communication engineering,Punjab,87.9,0,2013,88,2008,78,2,420000
m,B.Tech/B.E.,computer science & engineering,Andhra Pradesh,74,0,2014,80.8,2010,81.5,2,100000
m,B.Tech/B.E.,information technology,Maharashtra,58.66,1,2012,77.6,2008,59,2,120000
m,B.Tech/B.E.,electronics & telecommunications,Maharashtra,70,0,2014,87,2010,79,2,315000
f,B.Tech/B.E.,computer engineering,Haryana,70,0,2011,89.8,2007,83.8,2,480000
m,B.Tech/B.E.,computer science & engineering,Telangana,62,1,2013,80,2009,89,2,145000
m,B.Tech/B.E.,information technology,Delhi,74.5,1,2012,84,2008,83,2,450000
f,B.Tech/B.E.,electronics and communication engineering,Tamil Nadu,76,1,2012,91,2008,80,2,235000
m,B.Tech/B.E.,electronics and communication engineering,Delhi,76.4,1,2014,89.6,2010,83.8,2,330000
m,B.Tech/B.E.,information technology,Punjab,80,0,2012,82,2008,60,2,320000
m,B.Tech/B.E.,computer engineering,Uttar Pradesh,70.13,0,2011,70,2006,73.8,2,715000
m,M.Tech./M.E.,computer science & engineering,Punjab,88,0,2015,59.57,2007,55,2,145000
m,B.Tech/B.E.,electronics and electrical engineering,Haryana,79.2,0,2012,83,2008,81,2,180000
f,B.Tech/B.E.,computer engineering,Madhya Pradesh,72.18,0,2012,67.8,2008,65.2,2,180000
m,B.Tech/B.E.,information technology,Uttar Pradesh,69,0,2014,82.4,2010,81.2,2,75000
f,B.Tech/B.E.,computer engineering,Haryana,71.2,0,2012,79,2008,74.6,2,280000
f,B.Tech/B.E.,computer engineering,Uttar Pradesh,73,0,2011,81.2,2007,82.8,2,390000
m,B.Tech/B.E.,mechanical engineering,Uttar Pradesh,71,0,2013,73.5,2009,71,2,325000
m,B.Tech/B.E.,electronics and communication engineering,Andhra Pradesh,84,0,2013,90.6,2009,94.3,2,300000
f,B.Tech/B.E.,computer science & engineering,Jharkhand,74,0,2014,91.6,2010,90.2,2,450000
m,B.Tech/B.E.,information technology,Himachal Pradesh,77,0,2014,86,2010,83.8,2,505000
m,B.Tech/B.E.,electronics and communication engineering,Tamil Nadu,75,0,2013,73,2009,79,2,240000
m,MCA,computer application,Karnataka,73.14,1,2013,65,2007,50,2,240000
m,B.Tech/B.E.,information technology,Tamil Nadu,71,0,2010,86,2006,82,2,200000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,73.38,0,2014,86,2010,74.44,2,450000
m,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,77.7,0,2012,91.6,2008,85.8,2,335000
f,B.Tech/B.E.,computer engineering,Uttar Pradesh,73.14,0,2011,89,2006,78,2,310000
f,B.Tech/B.E.,biotechnology,Madhya Pradesh,71,0,2011,87.4,2005,83,1,450000
m,B.Tech/B.E.,information technology,Delhi,72.13,1,2010,78,2004,83,1,600000
m,B.Tech/B.E.,ceramic engineering,Orissa,72,0,2014,93.33,2009,76.66,1,335000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,70.45,0,2013,75,2008,77,2,150000
m,MCA,computer application,Jharkhand,79.6,0,2014,71.3,2008,63.8,2,180000
m,B.Tech/B.E.,information technology,Uttar Pradesh,61.6,0,2014,81,2012,73,2,360000
m,B.Tech/B.E.,computer engineering,West Bengal,74.9,1,2013,55,2009,68,2,180000
f,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,72.3,0,2013,83.4,2008,88.2,2,180000
m,B.Tech/B.E.,information technology,Chhattisgarh,73.8,0,2013,64.8,2009,69.4,2,240000
m,B.Tech/B.E.,computer science & engineering,Delhi,79.95,1,2014,83.5,2010,87.2,2,350000
m,B.Tech/B.E.,electronics and communication engineering,Tamil Nadu,61,1,2010,82.27,2006,80.58,2,400000
m,B.Tech/B.E.,mechanical engineering,Uttar Pradesh,60.05,0,2015,71.1,2011,64.5,2,150000
m,B.Tech/B.E.,computer science & engineering,Bihar,73,0,2015,91.4,2010,81.2,1,150000
f,B.Tech/B.E.,computer engineering,Uttar Pradesh,76.76,0,2012,78,2008,79.4,2,455000
m,B.Tech/B.E.,electronics and communication engineering,West Bengal,84.1,0,2013,77,2009,69,2,240000
m,B.Tech/B.E.,electrical engineering,Rajasthan,71.56,0,2011,80,2005,75,2,350000
f,B.Tech/B.E.,information technology,Tamil Nadu,89.2,0,2012,89,2008,94.16,2,385000
m,B.Tech/B.E.,mechanical engineering,Rajasthan,73.83,0,2012,87.33,2008,82.46,2,440000
m,MCA,computer application,Tamil Nadu,86,0,2013,73.94,2009,79.16,2,380000
m,B.Tech/B.E.,electronics and communication engineering,Madhya Pradesh,76.03,0,2012,79.8,2007,81,2,420000
f,B.Tech/B.E.,electronics and communication engineering,Telangana,77.33,1,2012,92,2008,94.8,2,360000
m,B.Tech/B.E.,electronics and electrical engineering,Uttar Pradesh,70.6,0,2014,76,2009,78,2,320000
m,B.Tech/B.E.,computer engineering,Maharashtra,67.63,0,2012,78.93,2008,65,2,355000
m,B.Tech/B.E.,computer science & engineering,Punjab,57.5,0,2014,80.6,2009,74.6,2,180000
m,B.Tech/B.E.,electronics and electrical engineering,Karnataka,75.67,1,2011,83.2,2007,77.33,2,490000
m,MCA,computer application,Uttar Pradesh,69.7,0,2011,52.7,2005,45.6,2,300000
m,B.Tech/B.E.,information technology,Madhya Pradesh,69.9,0,2013,69.5,2008,68.5,2,2000000
m,M.Tech./M.E.,computer science & engineering,Telangana,80,1,2015,85,2009,85.6,2,120000
f,B.Tech/B.E.,electrical engineering,West Bengal,69.97,1,2010,67.25,2009,63.4,2,240000
m,B.Tech/B.E.,computer science & engineering,Haryana,70,0,2014,88.2,2010,80.8,2,325000
m,B.Tech/B.E.,computer science & engineering,Rajasthan,66,0,2014,76.2,2010,63.8,2,100000
m,B.Tech/B.E.,information technology,Madhya Pradesh,66.6,0,2012,67.2,2007,58.6,2,180000
m,B.Tech/B.E.,mechanical engineering,Punjab,65,0,2015,76,2011,66.66,2,250000
m,B.Tech/B.E.,metallurgical engineering,Orissa,73,0,2014,89.5,2010,78.83,1,300000
m,B.Tech/B.E.,electronics & telecommunications,Orissa,65,0,2013,56,2009,63,2,220000
m,B.Tech/B.E.,computer engineering,Maharashtra,66.23,1,2015,90.2,2011,84.8,1,1500000
f,B.Tech/B.E.,mechanical engineering,Uttar Pradesh,70.66,0,2011,75.6,2006,77,2,275000
m,B.Tech/B.E.,computer science & engineering,Karnataka,72.3,1,2014,83.68,2010,84.5,2,500000
m,B.Tech/B.E.,electronics and communication engineering,Haryana,61.9,0,2012,79.8,2008,75.6,2,510000
m,B.Tech/B.E.,mechanical engineering,Maharashtra,63,1,2013,84.4,2009,76,2,185000
m,B.Tech/B.E.,information technology,Uttarakhand,70.5,0,2012,72,2007,72,2,490000
m,B.Tech/B.E.,electronics and communication engineering,Madhya Pradesh,91,0,2014,85.8,2010,83,1,300000
m,B.Tech/B.E.,electronics and communication engineering,Uttarakhand,79.67,0,2013,73,2009,77,2,410000
m,B.Tech/B.E.,computer engineering,Karnataka,58,1,2012,73,2008,57.8,2,225000
m,M.Tech./M.E.,electronics and communication engineering,Karnataka,64.95,0,2013,83.04,2006,72.6,2,100000
f,B.Tech/B.E.,mechanical engineering,Orissa,78,0,2012,83,2008,66,2,330000
m,B.Tech/B.E.,electronics and communication engineering,Tamil Nadu,72,0,2014,87,2010,81,2,300000
m,B.Tech/B.E.,electronics and communication engineering,Haryana,70.6,0,2014,85,2010,82,2,325000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,67.6,1,2013,79.2,2009,76.6,2,310000
m,B.Tech/B.E.,aeronautical engineering,Telangana,67.1,1,2013,74,2009,81,2,120000
m,M.Tech./M.E.,computer science & engineering,Maharashtra,70,0,2013,77.86,2006,64.33,2,525000
m,B.Tech/B.E.,information science engineering,Karnataka,55.9,1,2013,81.66,2009,58.55,2,230000
m,B.Tech/B.E.,electronics and electrical engineering,Tamil Nadu,78,1,2014,82.6,2009,76,2,300000
f,B.Tech/B.E.,computer science & engineering,Andhra Pradesh,70.4,0,2014,89,2010,90.6,2,305000
m,B.Tech/B.E.,mechanical engineering,Andhra Pradesh,67.66,0,2014,85,2010,76.7,2,205000
f,B.Tech/B.E.,computer engineering,Karnataka,78.15,0,2010,91.2,2006,84.63,2,320000
m,B.Tech/B.E.,electronics and electrical engineering,Uttar Pradesh,70,0,2011,83.4,2006,77.4,1,510000
f,B.Tech/B.E.,electronics and electrical engineering,Karnataka,66.43,1,2014,79,2010,72.5,2,205000
m,B.Tech/B.E.,electronics & telecommunications,Maharashtra,60.14,0,2013,62.4,2006,67.17,2,140000
m,B.Tech/B.E.,mechanical engineering,Uttar Pradesh,72.3,0,2013,81.2,2009,76.4,2,360000
f,B.Tech/B.E.,electronics and communication engineering,Telangana,78.07,1,2011,90.6,2007,92.3,2,375000
m,MCA,computer application,Maharashtra,62,1,2011,55,2004,43,2,180000
m,B.Tech/B.E.,computer science & engineering,Haryana,66,0,2013,69,2009,69,2,195000
m,B.Tech/B.E.,information technology,Tamil Nadu,69.2,1,2012,73,2008,74,2,310000
m,B.Tech/B.E.,electronics and communication engineering,Telangana,71.77,1,2014,72.4,2010,72.8,2,325000
f,B.Tech/B.E.,computer science & engineering,Haryana,65.72,0,2012,78.33,2008,67.6,2,275000
m,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,65,0,2010,68,2006,59.2,2,375000
f,B.Tech/B.E.,computer engineering,Telangana,77.96,1,2011,86.6,2007,92,2,515000
f,B.Tech/B.E.,information technology,Punjab,82.9,0,2011,81,2007,77,2,380000
m,B.Tech/B.E.,computer engineering,Maharashtra,49.07,0,2013,61.6,2006,57.83,2,350000
f,B.Tech/B.E.,information technology,Maharashtra,86,0,2014,85.83,2010,86,2,265000
f,B.Tech/B.E.,electronics & instrumentation eng,Tamil Nadu,70,1,2013,83,2009,85,2,325000
m,B.Tech/B.E.,electronics engineering,Maharashtra,68.87,0,2013,84.3,2009,86.5,2,380000
m,B.Tech/B.E.,information technology,Uttar Pradesh,71.7,0,2014,69.66,2009,69.6,2,340000
m,B.Tech/B.E.,electronics & telecommunications,Maharashtra,56.43,1,2011,79.78,2007,64,2,280000
m,B.Tech/B.E.,information technology,Delhi,74,1,2013,90.4,2009,80.4,1,410000
m,B.Tech/B.E.,electronics and electrical engineering,Telangana,72.5,1,2013,84,2009,88,2,300000
f,B.Tech/B.E.,electronics and communication engineering,Andhra Pradesh,80.5,0,2012,93,2008,97,2,395000
m,B.Tech/B.E.,electronics and communication engineering,Tamil Nadu,69.06,1,2011,91.86,2007,94.5,2,90000
m,B.Tech/B.E.,mechanical engineering,Andhra Pradesh,74.1,0,2010,79.66,2006,87,2,300000
m,B.Tech/B.E.,electrical engineering,Telangana,63.96,1,2009,87,2005,92,2,160000
f,B.Tech/B.E.,information technology,Uttar Pradesh,70,0,2012,65,2008,58,2,145000
m,B.Tech/B.E.,information technology,Orissa,69,0,2014,70.2,2009,61.8,2,150000
m,B.Tech/B.E.,computer science & engineering,Uttar Pradesh,75,0,2014,73,2010,62,2,145000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,55.52,1,2014,70,2006,43.42,2,180000
m,B.Tech/B.E.,chemical engineering,Rajasthan,85.8,1,2011,84.67,2006,86.46,1,730000
m,B.Tech/B.E.,electronics and electrical engineering,Punjab,72.4,0,2013,63,2009,64,2,105000
m,B.Tech/B.E.,electrical engineering,Telangana,80.6,1,2014,88.8,2010,94.6,2,305000
m,B.Tech/B.E.,electronics and communication engineering,Karnataka,64,1,2013,76,2009,67,2,325000
m,B.Tech/B.E.,computer science & engineering,Haryana,70.14,0,2013,64.4,2009,79.2,2,180000
m,B.Tech/B.E.,computer science & engineering,Tamil Nadu,80,0,2010,87.8,2005,83.8,2,160000
f,B.Tech/B.E.,mechanical engineering,Andhra Pradesh,80.02,0,2013,85,2009,94.6,2,210000
f,B.Tech/B.E.,computer science & engineering,Orissa,80,0,2013,81,2009,66,2,275000
m,B.Tech/B.E.,computer engineering,Delhi,63.88,1,2012,71.66,2006,73.8,1,150000
m,B.Tech/B.E.,information technology,Orissa,77.8,0,2014,91.2,2010,77.8,2,210000
m,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,81,0,2014,82.2,2010,81,1,180000
f,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,67,0,2013,83,2009,73,2,325000
f,B.Tech/B.E.,electronics and communication engineering,Telangana,78.15,1,2012,93,2008,94.6,2,360000
m,MCA,computer application,Uttar Pradesh,74.8,0,2014,57,2005,58,2,180000
m,B.Tech/B.E.,information technology,Haryana,66,0,2013,83,2008,63,2,160000
m,B.Tech/B.E.,computer engineering,Uttar Pradesh,67.23,0,2012,82.4,2008,68,2,485000
m,B.Tech/B.E.,computer science & engineering,Telangana,75.7,1,2013,88.2,2009,91,1,350000
m,B.Tech/B.E.,computer science & engineering,Haryana,76,0,2014,76.6,2010,72.8,2,325000
m,B.Tech/B.E.,computer science & engineering,Andhra Pradesh,69.43,0,2012,85.3,2008,92.6,2,370000
m,B.Tech/B.E.,electronics and communication engineering,Uttar Pradesh,71.3,0,2013,68.6,2009,70,2,350000
m,B.Tech/B.E.,computer science & engineering,Himachal Pradesh,71,0,2014,79.4,2010,80.4,1,320000
